layer_name,cosine_similarity,sensitive,weight_shape
model.language_model.per_layer_model_projection,0.8631359934806824,True,"[8960, 1536]"
model.vision_tower.patch_embedder.input_proj,0.7781419157981873,True,"[768, 768]"
model.vision_tower.encoder.layers.0.self_attn.q_proj.linear,0.8229529857635498,True,"[768, 768]"
model.vision_tower.encoder.layers.0.self_attn.k_proj.linear,0.8406598567962646,True,"[768, 768]"
model.vision_tower.encoder.layers.0.self_attn.v_proj.linear,0.8156336545944214,True,"[768, 768]"
model.vision_tower.encoder.layers.0.self_attn.o_proj.linear,0.7064810395240784,True,"[768, 768]"
model.vision_tower.encoder.layers.0.mlp.gate_proj.linear,0.8504915237426758,True,"[3072, 768]"
model.vision_tower.encoder.layers.0.mlp.up_proj.linear,0.8519228100776672,True,"[3072, 768]"
model.vision_tower.encoder.layers.0.mlp.down_proj.linear,0.8298206925392151,True,"[768, 3072]"
model.vision_tower.encoder.layers.1.self_attn.q_proj.linear,0.8559507727622986,True,"[768, 768]"
model.vision_tower.encoder.layers.1.self_attn.k_proj.linear,0.854388952255249,True,"[768, 768]"
model.vision_tower.encoder.layers.1.self_attn.v_proj.linear,0.8353838920593262,True,"[768, 768]"
